No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
75,Wato,Mohamed Adan,10,Marsabit,21,Orange Democratic Movement,ODM
76,Adan,Dullo Fatuma,11,Isiolo,15,Party for Development and Reform,PDR
77,Anna,Mohamed Libani,11,Isiolo,27,Jubilee Party,JP
78,Huka,Molu,11,Isiolo,14,Party of National Unity,PNU
79,Ilere,Andrew Mola,11,Isiolo,33,Kenya African National Union,KANU
80,Kaaria,Ken Mutuma,11,Isiolo,75,Empowerment and Liberation Party,ELP
81,Roba,Hussein Halake,11,Isiolo,IND,Independent,IND
82,Wako,Obaroba Godana,11,Isiolo,21,Orange Democratic Movement,ODM
83,Imanyara,Milton Mugambi,12,Meru,14,Party of National Unity,PNU
84,Itewa,Zablon Mathenge,12,Meru,10,Mazingira Greens Party of Kenya,MGPK
85,Linturi,Franklin Mithika,12,Meru,27,Jubilee Party,JP
86,Maranya,Japheth Kobiah,12,Meru,IND,Independent,IND
87,Meenye,Gideon Kaumbuthu,12,Meru,13,Democratic Party of Kenya,DP
88,Mwiti,Kathendu Anderson,12,Meru,IND,Independent,IND
89,Thuranira,Gideon Gitonga,12,Meru,67,Maendeleo Chap Chap Party,MCCP
90,A K,Kithure Kindiki,13,Tharaka Nithi,27,Jubilee Party,JP
91,Kiriiro,Francis Kiambi Matanka,13,Tharaka Nithi,67,Maendeleo Chap Chap Party,MCCP
92,Kanake,Joshua M,14,Embu,67,Maendeleo Chap Chap Party,MCCP
93,Kathangu,Augustine Njeru,14,Embu,56,Forum for Republican Democracy,FORD
94,Mundigi,Alexander Munyi,14,Embu,IND,Independent,IND
95,Ndwiga,Peter Njeru,14,Embu,27,Jubilee Party,JP
96,Njeru,Kennedy Ndegwa,14,Embu,21,Orange Democratic Movement,ODM
97,Kameta,Dorcas Mwende,15,Kitui,27,Jubilee Party,JP
98,Kilonzi,Elijah Muimi,15,Kitui,36,Chama Cha Uzalendo,CCU
99,Kilonzo,Stephen Mutua,15,Kitui,67,Maendeleo Chap Chap Party,MCCP
100,Mutiisya,Ravaspaul Kyalo,15,Kitui,IND,Independent,IND
101,Wambua,Enoch Kiio,15,Kitui,12,Wiper Democratic Movement - Kenya,WDM-K
102,Henry,Kioko Mwalili Carlos,16,Machakos,67,Maendeleo Chap Chap Party,MCCP
103,Kabaka,Boniface Mutinda,16,Machakos,36,Chama Cha Uzalendo,CCU
104,Kalla,Jackson Musyoka,16,Machakos,12,Wiper Democratic Movement - Kenya,WDM-K
105,Katuku,John Mutua,16,Machakos,66,Peoples Trust Party,PTP
106,Mutua,Winfred Nunuva,16,Machakos,27,Jubilee Party,JP
107,Junior,Mutula Kilonzo,17,Makueni,12,Wiper Democratic Movement - Kenya,WDM-K
108,Katumo,Urbanus Muthoka,17,Makueni,IND,Independent,IND
109,Maundu,Peter Eliud Mutua,17,Makueni,27,Jubilee Party,JP
110,Nzeki,Daniel Muthenya,17,Makueni,67,Maendeleo Chap Chap Party,MCCP
111,Kamau,Beatrice Gathoni,18,Nyandarua,IND,Independent,IND
112,Methu,John Muhia,18,Nyandarua,67,Maendeleo Chap Chap Party,MCCP
113,Mwangi,Paul Githiomi,18,Nyandarua,27,Jubilee Party,JP
114,Kiongo,Daniel Wamahiu,19,Nyeri,IND,Independent,IND
115,Kirinyaga,Eng Ephraim Mwangi Maina,19,Nyeri,27,Jubilee Party,JP
116,Muraya,Patrick Gukura,19,Nyeri,67,Maendeleo Chap Chap Party,MCCP
117,Mwariri,Paul Kanja,19,Nyeri,IND,Independent,IND
118,Nderi,Steve Maina,19,Nyeri,40,New Democrats,ND
119,Nyamu,Wambugu,19,Nyeri,IND,Independent,IND
