No,Surname,Other Names,Running Mate Surname,Running Mate Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
137,Ole,Keturet Ntutu,Rop,Kibet Weldon,33,Narok,54,Chama Cha Mashinani,CCM
138,Tunai,Samuel Kuntai,Aruasa,Evalyn Chepkirui,33,Narok,27,Jubilee Party,JP
139,Lenku,Joseph Jama Ole,Moshisho,Martin Martine,34,Kajiado,27,Jubilee Party,JP
140,Livondo,Daniel Mpute Nina,Sidamai,Kennedy Thiongo,34,Kajiado,14,Party of National Unity,PNU
141,Ole Nkediany,David Kepue,Ntiati,Paul Mpute Ole,34,Kajiado,21,Orange Democratic Movement,ODM
142,Chepkwon Y,Paul Kiprono,Kikwai,Susan Chepkoech,35,Kericho,27,Jubilee Party,JP
143,Keter,Jonah Kipkemoi,Rotich,Samuel Kimutai,35,Kericho,33,Kenya African National Union,KANU
144,Laboso,Joyce Cherono,Barchok,Hillary Kipngeno,36,Bomet,27,Jubilee Party,JP
145,Rutto,Isaac Kiprono,Langat,Geofrey Kiprono,36,Bomet,54,Chama Cha Mashinani,CCM
146,Kanyanya,Suleiman Sumba,Songa,Harry Young,37,Kakamega,33,Kenya African National Union,KANU
147,Khalwale,Boni,Chilongo,James Paul Lusamamba,37,Kakamega,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
148,Muruli,Mable,Marani,John,37,Kakamega,27,Jubilee Party,JP
149,Oparanya H,Wycliffe Ambetsa,Kutima,Philip Museve,37,Kakamega,21,Orange Democratic Movement,ODM
150,Sakwa,Michael Osundwa,Sunguti,Caleb Amondo,37,Kakamega,62,Amani National Congress,ANC
151,Akaranga,Epainitous Moses,Imbunya,Joseph Muhadia,38,Vihiga,25,Progressive Party of Kenya,PPOK
152,Butiko,Enosi Kennedy,Lubanga,Castro,38,Vihiga,64,United Democratic Party,UDP
153,Chanzu,Yusuf Kifuma,Nyonje,Elias Billy,38,Vihiga,62,Amani National Congress,ANC
154,Ogwero,Josphat Amadi,Oduk,Hellen Anyiso Oginga,38,Vihiga,IND,Independent,IND
155,Ottichilo,Wilber Khasilwa,Lumumba,Patrick Saisi,38,Vihiga,21,Orange Democratic Movement,ODM
156,Khangati,Alfred,Nangalama,Ratcliffe M,39,Bungoma,21,Orange Democratic Movement,ODM
157,Lusaka,Kenneth Makelo,Moywo,Hillary Chongwony,39,Bungoma,27,Jubilee Party,JP
158,Mutoro,Stephen Simiyu,Fwamba,Evans Juma,39,Bungoma,62,Amani National Congress,ANC
159,Nduruchi,Wakhungu Jim,Cheshari,Kennedy Chepyagan,39,Bungoma,IND,Independent,IND
160,Wangamat I,Wycliffe Wafula,Ngome,Charles Kibanani,39,Bungoma,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
161,Kidwoli,Daniel Barasa,Imoite,John Otee,40,Busia,27,Jubilee Party,JP
162,Mondoh,Aloysius Okotch,Juma,Asmini,40,Busia,8,Restore and Build Kenya,RBK
163,Nyongesa,Otuoma Paul,Abwaku,Solomon Akadake,40,Busia,IND,Independent,IND
164,Ojaamong,Sospeters Odeke,Okhoba,Moses Mulomi,40,Busia,21,Orange Democratic Movement,ODM
165,Okwara,Benjamin Onyango,Bwakau,Berita Nasirumbi,40,Busia,28,Maendeleo Democratic Party,MDP
166,Oloo,Michael Otieno,Amollo,Edgar Muga,40,Busia,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
167,Oyatsi,Francis Lawrence,Obwini,Ezra Olola,40,Busia,64,United Democratic Party,UDP
168,Akello,Dan Salim Ongonga,Oduor,Millicent C Adhiambo,41,Siaya,27,Jubilee Party,JP
169,Amoth,Cornel Rasanga,Okumbe,James Ouko,41,Siaya,21,Orange Democratic Movement,ODM
170,Gumbo,Nicolas O,Ochogo,Tubmun Otieno,41,Siaya,IND,Independent,IND
171,Odhiambo,Omoro Daniel,Ogolla,Antony Fredrick,41,Siaya,IND,Independent,IND
172,Winja,Noah Migudo,William,Ochieng Otieno,41,Siaya,IND,Independent,IND
173,Nyong'o,Peter Anyang',Owili,Mathew Ochieng,42,Kisumu,21,Orange Democratic Movement,ODM
174,Omolo,Peter Charles Owino,Ondiek,Peres Adhiambo,42,Kisumu,62,Amani National Congress,ANC
175,Otieno,Christine R Atieno,Wariero,Aloyce Odiango,42,Kisumu,27,Jubilee Party,JP
176,Ranguma,Jackton Nyanungo,Kananga,Ephraim Philip Onyango,42,Kisumu,IND,Independent,IND
177,Wayiera,David Otieno,Mobisa,Samson Abisai,42,Kisumu,73,Alternative Leadership Party of Kenya,ALPK
178,Awiti,Cyprian Archelius,Orata,Hamilton Onyango,43,Homa Bay,21,Orange Democratic Movement,ODM
179,Misama,Medo Luke Calvins,Amala,Mark Olang,43,Homa Bay,IND,Independent,IND
180,Onyango,Tom Otieno,Okoth,Michael Ogolla,43,Homa Bay,27,Jubilee Party,JP
181,Gibagiri,Chrispinus Weiria,Monanka,Simon Wambura,44,Migori,27,Jubilee Party,JP
182,Mbogo,George Ochilo Ayacko,Chacha,Lucas Mosenda,44,Migori,IND,Independent,IND
183,Obado,Zakaria Okoth,Mahanga,Mwita,44,Migori,21,Orange Democratic Movement,ODM
184,Ogallo,Samson Owuor,Gabriel,Kemege Tyson,44,Migori,IND,Independent,IND
185,Okoth,Otieno Jack,Mohochi,Kennedy Mwita,44,Migori,62,Amani National Congress,ANC
186,Bagwasi,Charles Maranga,Oirere,Bororo Onyimbo Naftal,45,Kisii,5,Chama Mwangaza Daima,CMD
187,Mogeni,Kepha,Okioma,Julius Makori,45,Kisii,25,Progressive Party of Kenya,PPOK
188,Nyaberi,Justry P Lumumba,Birundu,Charles Onyambu,45,Kisii,12,Wiper Democratic Movement - Kenya,WDM-K
189,Nyamao,Samwel Nyachwaya,Nyagero,Daniel Ogembo,45,Kisii,IND,Independent,IND
190,Nyamweya,Manson Oyongo,Maisiba,Tom Marube,45,Kisii,9,Kenya National Congress,KNC
191,Obure,Christopher Mogere,Nyaundi,Albert Mbaka,45,Kisii,27,Jubilee Party,JP
192,Omboto,Boniface,Gai,Ouko Robert,45,Kisii,67,Maendeleo Chap Chap Party,MCCP
193,Ongwae,James Elvis Omariba,Maangi,Joash Arthur,45,Kisii,21,Orange Democratic Movement,ODM
194,Kumenda,Aboko J S,Arisa,M Richard,46,Nyamira,IND,Independent,IND
195,Nyagaram A,John Obiero,Nyaribo,Amos Kimwomi,46,Nyamira,21,Orange Democratic Movement,ODM
196,Nyakiba,Erneo Mageto Moruri,Ndubi,Frank P,46,Nyamira,15,Party for Development and Reform,PDR
197,Okioma,Samson Mwancha,Momanyi,Job Nyasimi,46,Nyamira,39,Peoples Democratic Party,PDP
198,Okongo,Kennedy Mongare,Onkangi,Chelimo Emmaculate,46,Nyamira,71,National Liberal Party,NLP
199,Ondicho,James Gesami,Maiko,Mageto Peter,46,Nyamira,IND,Independent,IND
200,Ongaga,Evans Nyatigo,Nyakango,Jared Osoro,46,Nyamira,54,Chama Cha Mashinani,CCM
201,Onyancha,David Anasi,Borura,Samson Nyambati Akara,46,Nyamira,12,Wiper Democratic Movement - Kenya,WDM-K
202,Osebe,Walter Enock Nyambati,Oboso,Steven Kennedy,46,Nyamira,27,Jubilee Party,JP
203,Evans,Kidero Odhiambo,Mueke,Jonathan Mwangangi,47,Nairobi,21,Orange Democratic Movement,ODM
204,Francis,Mwanga Inganji,Angwenyi,Peterson Rongi,47,Nairobi,37,National Agenda Party of Kenya,NAPK
205,Kenneth,Peter,Shikanda,Daniel Akala,47,Nairobi,IND,Independent,IND
206,Kioko,Mike Sonko Mbuvi Gidion,Kamau,Polycarp Igathe,47,Nairobi,27,Jubilee Party,JP
207,Macharia,Lawrence Kamau,Zein,Ahmed Mohamed,47,Nairobi,44,Party of Democratic Unity,PDU
208,Miguna,Miguna,Wangenye,Karen Elizabeth Wanjiku,47,Nairobi,IND,Independent,IND
209,Mumo,Michael Mutinda,Kimunyu,Anne Wamuyu,47,Nairobi,17,Agano Party,AGANO
210,Waweru,Godfrey Wanyoike,Omukawila,Douglas Lawrence Ebole,47,Nairobi,IND,Independent,IND
