No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv,Notes
62,Mwadzaya,Said Mbovu Hassan Wanini,2,Kwale,8,Lungalunga,42,Shirikisho Party of Kenya,SPK,
63,Mwashetani,Khatib Abdallah,2,Kwale,8,Lungalunga,27,Jubilee Party,JP,
64,Mwilu,Benson Mutisya,2,Kwale,8,Lungalunga,67,Maendeleo Chap Chap Party,MCCP,
65,Ngome,Stephen Mkaila,2,Kwale,8,Lungalunga,62,Amani National Congress,ANC,
66,Pojjo,Kassim Mwapojjo,2,Kwale,8,Lungalunga,60,Vibrant Democratic Party,VDP,
67,Tsuma,Murabu Chaka,2,Kwale,8,Lungalunga,33,Kenya African National Union,KANU,
68,Zonga,Omar Mbwana,2,Kwale,8,Lungalunga,21,Orange Democratic Movement,ODM,
69,Kitambi,Mwalimu Digore,2,Kwale,9,Matuga,27,Jubilee Party,JP,
70,Mwakileo,Masudi Ali,2,Kwale,9,Matuga,42,Shirikisho Party of Kenya,SPK,
71,Mwanyoha,Hassan Mohamed,2,Kwale,9,Matuga,21,Orange Democratic Movement,ODM,
72,Mwarora,Athman Salim,2,Kwale,9,Matuga,12,Wiper Democratic Movement - Kenya,WDM-K,
73,Tandaza,Kassim Sawa,2,Kwale,9,Matuga,62,Amani National Congress,ANC,
74,Kamanza,Seth Mwatela,2,Kwale,10,Kinango,IND,Independent,IND,
75,Kitula,Richard Kang'ela,2,Kwale,10,Kinango,IND,Independent,IND,
76,Nuri,Nuri Katana,2,Kwale,10,Kinango,13,Democratic Party of Kenya,DP,
77,Rai,Samuel Gonzi,2,Kwale,10,Kinango,27,Jubilee Party,JP,
78,Tayari,Benjamin Dalu Stephen,2,Kwale,10,Kinango,21,Orange Democratic Movement,ODM,
79,Baya,Owen Yaa,3,Kilifi,11,Kilifi North,21,Orange Democratic Movement,ODM,
80,Chai,Eliud Kalama,3,Kilifi,11,Kilifi North,12,Wiper Democratic Movement - Kenya,WDM-K,
81,Kazungu,Anthony Kingi,3,Kilifi,11,Kilifi North,72,Movement for Democracy and Growth,MDG,
82,Mwamuye,Edward Salehe,3,Kilifi,11,Kilifi North,62,Amani National Congress,ANC,
83,Mweni,Pascal Maitha,3,Kilifi,11,Kilifi North,30,Kenya African Democratic Union - Asili,KADU-ASILI,
84,Ziro,Esther Kache,3,Kilifi,11,Kilifi North,27,Jubilee Party,JP,
85,Jefwa,Maalim Khamisi,3,Kilifi,12,Kilifi South,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
86,Kalama,Shedrack Lewa,3,Kilifi,12,Kilifi South,IND,Independent,IND,
87,Kiti,Richard Ken Chonga,3,Kilifi,12,Kilifi South,21,Orange Democratic Movement,ODM,
88,Lewah,James Chituto,3,Kilifi,12,Kilifi South,12,Wiper Democratic Movement - Kenya,WDM-K,
89,Mustafa,Salim Idd,3,Kilifi,12,Kilifi South,27,Jubilee Party,JP,
90,Tokali,Alphonce Mwambura,3,Kilifi,12,Kilifi South,62,Amani National Congress,ANC,
91,Wanyepe,Nicholas Mrima,3,Kilifi,12,Kilifi South,IND,Independent,IND,
92,Chea,Mwinga Gunga,3,Kilifi,13,Kaloleni,63,Devolution Party of Kenya,DPK,
93,Chome,Patience Mukhambe Mwangiri,3,Kilifi,13,Kaloleni,30,Kenya African Democratic Union - Asili,KADU-ASILI,
94,Garama,Stephen Raphael,3,Kilifi,13,Kaloleni,42,Shirikisho Party of Kenya,SPK,
95,Katana,Joseph Kazungu,3,Kilifi,13,Kaloleni,54,Chama Cha Mashinani,CCM,
96,Katana,Paul Kahindi,3,Kilifi,13,Kaloleni,21,Orange Democratic Movement,ODM,
97,Matano,Fahad Lauzi,3,Kilifi,13,Kaloleni,67,Maendeleo Chap Chap Party,MCCP,
98,Mwaro,Harry Mweri Vidzo,3,Kilifi,13,Kaloleni,12,Wiper Democratic Movement - Kenya,WDM-K,
99,Ngowa,Kitsao Kahindi,3,Kilifi,13,Kaloleni,27,Jubilee Party,JP,
100,Rimba,Martin Chengo,3,Kilifi,13,Kaloleni,33,Kenya African National Union,KANU,
101,Tsuma,Edward Saro,3,Kilifi,13,Kaloleni,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
102,Ziro,Charo Dena,3,Kilifi,13,Kaloleni,72,Movement for Democracy and Growth,MDG,
103,Kambi,Ricky Wanje,3,Kilifi,14,Rabai,30,Kenya African Democratic Union - Asili,KADU-ASILI,
104,Katama,Gideon Mwambaji,3,Kilifi,14,Rabai,40,New Democrats,ND,
105,Kondo,Esther Ndolola,3,Kilifi,14,Rabai,3,The Labour Party of Kenya,LPK,
106,Mbura,Getrude Emma,3,Kilifi,14,Rabai,67,Maendeleo Chap Chap Party,MCCP,
107,Mupe,Anthony Kenga,3,Kilifi,14,Rabai,27,Jubilee Party,JP,
108,Mwamkale,William Kamoti,3,Kilifi,14,Rabai,21,Orange Democratic Movement,ODM,
109,Mwinyihaji,Lwambi,3,Kilifi,14,Rabai,33,Kenya African National Union,KANU,
110,Edward,Kahindi Kingi,3,Kilifi,15,Ganze,30,Kenya African Democratic Union - Asili,KADU-ASILI,
111,Kahindi,Joseph Kingi A,3,Kilifi,15,Ganze,42,Shirikisho Party of Kenya,SPK,
112,Kenga,William Chengo,3,Kilifi,15,Ganze,IND,Independent,IND,
113,Mwambire,Teddy Ngumbao,3,Kilifi,15,Ganze,21,Orange Democratic Movement,ODM,
114,Mweni,Anderson Kenga,3,Kilifi,15,Ganze,33,Kenya African National Union,KANU,
115,Shehe,Peter Safari,3,Kilifi,15,Ganze,27,Jubilee Party,JP,
116,Benjamin,Nelson Gunga,3,Kilifi,16,Malindi,49,Federal Party of Kenya,FPK,
117,Charo,Philip Kitsao,3,Kilifi,16,Malindi,27,Jubilee Party,JP,
118,Katana,Aisha Jumwa Karisa,3,Kilifi,16,Malindi,21,Orange Democratic Movement,ODM,
119,Kombe,Fuad Wasi,3,Kilifi,16,Malindi,63,Devolution Party of Kenya,DPK,
120,Mtengo,William Baraka,3,Kilifi,16,Malindi,IND,Independent,IND,
121,Mwimali,Justus Harry Abuko,3,Kilifi,16,Malindi,30,Kenya African Democratic Union - Asili,KADU-ASILI,
122,Ogelo,Rashid Odhiambo,3,Kilifi,16,Malindi,12,Wiper Democratic Movement - Kenya,WDM-K,
123,Otara,Richard Ondara,3,Kilifi,16,Malindi,64,United Democratic Party,UDP,
124,Baya,Justine Kazungu,3,Kilifi,17,Magarini,64,United Democratic Party,UDP,
125,Esposito,Franco Kasoso Baya,3,Kilifi,17,Magarini,30,Kenya African Democratic Union - Asili,KADU-ASILI,
126,Karisa,Hamadi Chadi,3,Kilifi,17,Magarini,49,Federal Party of Kenya,FPK,
127,Kingi,Michael Thoyah,3,Kilifi,17,Magarini,21,Orange Democratic Movement,ODM,
128,Kombe,Harrison Garama,3,Kilifi,17,Magarini,27,Jubilee Party,JP,
129,Malingi,Emmanuel Gande,3,Kilifi,17,Magarini,54,Chama Cha Mashinani,CCM,
130,Menza,Mwalimu Katana,3,Kilifi,17,Magarini,62,Amani National Congress,ANC,
131,Nguma,Fredrick Kasiwa,3,Kilifi,17,Magarini,12,Wiper Democratic Movement - Kenya,WDM-K,
132,Abdi,Anwar Mohamud,4,Tana River,18,Garsen,15,Party for Development and Reform,PDR,
133,Baya,Mercy Nema,4,Tana River,18,Garsen,63,Devolution Party of Kenya,DPK,
134,Daleno,Mohamed Juge,4,Tana River,18,Garsen,13,Democratic Party of Kenya,DP,
135,Ddaiddo,Frankfaith Makorani,4,Tana River,18,Garsen,IND,Independent,IND,
136,Fibe,Irene Matsawi,4,Tana River,18,Garsen,32,Social Democratic Party of Kenya,SDP,
137,Guyo,Ali Wario,4,Tana River,18,Garsen,12,Wiper Democratic Movement - Kenya,WDM-K,
138,Guyo,Mohamed Salad,4,Tana River,18,Garsen,27,Jubilee Party,JP,
139,Jillo,Maurice Dulluh,4,Tana River,18,Garsen,30,Kenya African Democratic Union - Asili,KADU-ASILI,
140,Matheka,Benard Mutua,4,Tana River,18,Garsen,5,Chama Mwangaza Daima,CMD,
141,Ruhu,Joel Amuma,4,Tana River,18,Garsen,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
142,Sane,Ibrahim Ahmed,4,Tana River,18,Garsen,31,Kenya Patriots Party,KPP,
143,Suleiman,Abdi Bile,4,Tana River,18,Garsen,54,Chama Cha Mashinani,CCM,
144,Wayu,Alii Komora,4,Tana River,18,Garsen,21,Orange Democratic Movement,ODM,
145,Welly,Abdi Ali,4,Tana River,18,Garsen,62,Amani National Congress,ANC,
146,Aziz,Bwanaidi Abdalla,4,Tana River,19,Galole,67,Maendeleo Chap Chap Party,MCCP,
147,Duale,Adhan Mahamud,4,Tana River,19,Galole,15,Party for Development and Reform,PDR,
148,Dukicha,Hassan Abdi,4,Tana River,19,Galole,27,Jubilee Party,JP,
149,Hiribae,Said Buya,4,Tana River,19,Galole,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
150,Bishar,Juma Odha,4,Tana River,20,Bura,10,Mazingira Greens Party of Kenya,MGPK,
151,Dube,Mohamed Hassan,4,Tana River,20,Bura,12,Wiper Democratic Movement - Kenya,WDM-K,
152,Eyow,Farah Dahir,4,Tana River,20,Bura,15,Party for Development and Reform,PDR,
153,Kuno,Yakub Adow,4,Tana River,20,Bura,21,Orange Democratic Movement,ODM,
154,Loka,Mahadhi Ali,4,Tana River,20,Bura,31,Kenya Patriots Party,KPP,
155,Wario,Ali,4,Tana River,20,Bura,27,Jubilee Party,JP,
156,Ali,Sharif Athman,5,Lamu,21,Lamu East,27,Jubilee Party,JP,
157,Kombo,Shekue Kahale,5,Lamu,21,Lamu East,21,Orange Democratic Movement,ODM,
158,Loo,Ahmed Mohamed Ali,5,Lamu,21,Lamu East,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
159,Madhbuti,Mohamed,5,Lamu,21,Lamu East,33,Kenya African National Union,KANU,
160,Ahmed,Abdu Kassim,5,Lamu,22,Lamu West,27,Jubilee Party,JP,
161,Ahmed,Rishad Hamid,5,Lamu,22,Lamu West,21,Orange Democratic Movement,ODM,
162,Kariuki,Julius Ndegwa,5,Lamu,22,Lamu West,34,Safina,SAFINA,
163,Kinyanjui,Antony Mwaura,5,Lamu,22,Lamu West,IND,Independent,IND,
164,Muthama,Stanley Muiruri,5,Lamu,22,Lamu West,67,Maendeleo Chap Chap Party,MCCP,
165,Mwangi,Anastasia Wanjiru,5,Lamu,22,Lamu West,IND,Independent,IND,
166,Nyaga,Mary Immaculate W,5,Lamu,22,Lamu West,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
167,Tett,Betty Njeri,5,Lamu,22,Lamu West,68,Democratic Congress,DC,
168,Criticos,Basil,6,Taita Taveta,23,Taveta,33,Kenya African National Union,KANU,
169,Lelewu,Ruth Mkumbulu,6,Taita Taveta,23,Taveta,21,Orange Democratic Movement,ODM,
170,Maingi,Fredrick Mulei,6,Taita Taveta,23,Taveta,IND,Independent,IND,
