No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv,Notes
273,Isaack,Shaaban Ali,9,Mandera,44,Lafey,27,Jubilee Party,JP,
274,Ali,Mohamed Sharamo,10,Marsabit,45,Moyale,21,Orange Democratic Movement,ODM,
275,Duba,Roba Sharu,10,Marsabit,45,Moyale,46,Frontier Alliance Party,FAP,
276,Hassan,Billow Issack,10,Marsabit,45,Moyale,48,Economic Freedom Party,EFP,
277,Jaldesa,Guyo Waqo,10,Marsabit,45,Moyale,33,Kenya African National Union,KANU,
278,Tafara,Ababa Chanasa,10,Marsabit,45,Moyale,14,Party of National Unity,PNU,
279,Wario,Qalicha Gufu,10,Marsabit,45,Moyale,27,Jubilee Party,JP,
280,Adhe,Wario Guyo,10,Marsabit,46,North Horr,33,Kenya African National Union,KANU,
281,Akol,Peter Koriye,10,Marsabit,46,North Horr,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
282,Ganya,Francis Chachu,10,Marsabit,46,North Horr,46,Frontier Alliance Party,FAP,
283,Ibrae,Peter Molu,10,Marsabit,46,North Horr,14,Party of National Unity,PNU,
284,Wario,Dulacha Diba,10,Marsabit,46,North Horr,27,Jubilee Party,JP,
285,Galgallo,Joseph Halkano,10,Marsabit,47,Saku,67,Maendeleo Chap Chap Party,MCCP,
286,Halake,Nuria Golo,10,Marsabit,47,Saku,46,Frontier Alliance Party,FAP,
287,Raso,Dido Ali,10,Marsabit,47,Saku,27,Jubilee Party,JP,
288,Sasura,Hussein Tarry,10,Marsabit,47,Saku,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
289,Arbelle,Marselino Malimo,10,Marsabit,48,Laisamis,27,Jubilee Party,JP,
290,Lekuton,Joseph,10,Marsabit,48,Laisamis,46,Frontier Alliance Party,FAP,
291,Abakula,Ali Dida,11,Isiolo,49,Isiolo North,12,Wiper Democratic Movement - Kenya,WDM-K,
292,Abdullahi,Mohamed,11,Isiolo,49,Isiolo North,2,The National Vision Party,NVP,
293,Godana,Abdi Adan,11,Isiolo,49,Isiolo North,IND,Independent,IND,
294,Hulufo,Hassan Oda,11,Isiolo,49,Isiolo North,31,Kenya Patriots Party,KPP,
295,Issack,Mustafa Desi,11,Isiolo,49,Isiolo North,14,Party of National Unity,PNU,
296,Lomwa,Joseph Samal,11,Isiolo,49,Isiolo North,27,Jubilee Party,JP,
297,Mohamed,Abdi,11,Isiolo,49,Isiolo North,33,Kenya African National Union,KANU,
298,Mworia,Lucy Nyoroka,11,Isiolo,49,Isiolo North,IND,Independent,IND,
299,Banticha,Abdullahi Jaldesa,11,Isiolo,50,Isiolo South,15,Party for Development and Reform,PDR,
300,Bidu,Mohamed Tubi,11,Isiolo,50,Isiolo South,62,Amani National Congress,ANC,
301,Dabasso,Hussein Tene,11,Isiolo,50,Isiolo South,IND,Independent,IND,
302,Guyo,Shano Hussein,11,Isiolo,50,Isiolo South,33,Kenya African National Union,KANU,
303,Ibrahim,Nuh Mohamed,11,Isiolo,50,Isiolo South,IND,Independent,IND,
304,Ido,Abduba Mollu,11,Isiolo,50,Isiolo South,27,Jubilee Party,JP,
305,Tepo,Abdi Koropu,11,Isiolo,50,Isiolo South,31,Kenya Patriots Party,KPP,
306,Wako,Jattan Omar,11,Isiolo,50,Isiolo South,12,Wiper Democratic Movement - Kenya,WDM-K,
307,Kubai,Martin Mutuma,12,Meru,51,Igembe South,67,Maendeleo Chap Chap Party,MCCP,
308,Muriungi,Raphael,12,Meru,51,Igembe South,13,Democratic Party of Kenya,DP,
309,Mwereria,Joseph Miriti Rufus,12,Meru,51,Igembe South,27,Jubilee Party,JP,
310,Mwirigi,John Paul,12,Meru,51,Igembe South,IND,Independent,IND,
311,Mzalendo,Joseph Mithika Mwenda,12,Meru,51,Igembe South,14,Party of National Unity,PNU,
312,Iringo,Cyprian Kubai,12,Meru,52,Igembe Central,27,Jubilee Party,JP,
313,Karitho,Kiili Daniel,12,Meru,52,Igembe Central,14,Party of National Unity,PNU,
314,Kinyua,Erastus Nkunja,12,Meru,52,Igembe Central,IND,Independent,IND,
315,Mithika,James,12,Meru,52,Igembe Central,IND,Independent,IND,
316,Baariu,Richard Mutura,12,Meru,53,Igembe North,67,Maendeleo Chap Chap Party,MCCP,
317,Dalton,Kirianki Kimathi Charles,12,Meru,53,Igembe North,21,Orange Democratic Movement,ODM,
318,M'mithiaru,Ntoitha,12,Meru,53,Igembe North,14,Party of National Unity,PNU,
319,M'uthari,Joseph M'eruaki,12,Meru,53,Igembe North,IND,Independent,IND,
320,Maoka,Richard Maore,12,Meru,53,Igembe North,27,Jubilee Party,JP,
321,Ntonja,Patrick Muratanya,12,Meru,53,Igembe North,IND,Independent,IND,
322,Taitumu,Julius  M'anaiba,12,Meru,53,Igembe North,IND,Independent,IND,
323,James,Mukaria Isaiah,12,Meru,54,Tigania West,IND,Independent,IND,
324,Karithi,David,12,Meru,54,Tigania West,14,Party of National Unity,PNU,
325,Kiraithe,Jephitha Gitonga Matthews,12,Meru,54,Tigania West,IND,Independent,IND,
326,Kurauka,Henry Athimbu,12,Meru,54,Tigania West,67,Maendeleo Chap Chap Party,MCCP,
327,Mutunga,John Kanyuithia,12,Meru,54,Tigania West,27,Jubilee Party,JP,
328,Mwika,Kirema Godffrey,12,Meru,54,Tigania West,IND,Independent,IND,
329,Ncebere,Japhet Muroki,12,Meru,54,Tigania West,IND,Independent,IND,
330,Ndubai,Leon Muriithi,12,Meru,54,Tigania West,IND,Independent,IND,
331,Ndubai,Peter,12,Meru,54,Tigania West,13,Democratic Party of Kenya,DP,
332,Aburi,Lawrence Mpuru,12,Meru,55,Tigania East,27,Jubilee Party,JP,
333,Johnson,James Kainga,12,Meru,55,Tigania East,IND,Independent,IND,
334,Kabeabea,Josphat Gichunge Mwirabua,12,Meru,55,Tigania East,14,Party of National Unity,PNU,
335,Mwingirwa,Stephen,12,Meru,55,Tigania East,44,Party of Democratic Unity,PDU,
336,Ngaine,Joseph Kinyua,12,Meru,55,Tigania East,IND,Independent,IND,
337,Ntuala,Gikundi Samuel,12,Meru,55,Tigania East,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
338,Sylvia,Karithi David,12,Meru,55,Tigania East,21,Orange Democratic Movement,ODM,
339,Dawood,Abdul Rahim,12,Meru,56,North Imenti,27,Jubilee Party,JP,
340,Hirani,Rajesh Valji,12,Meru,56,North Imenti,2,The National Vision Party,NVP,
341,Kiragu,Beatrice Karwitha,12,Meru,56,North Imenti,67,Maendeleo Chap Chap Party,MCCP,
342,Marete,Isaack Kinoti,12,Meru,56,North Imenti,IND,Independent,IND,
343,Mugah,Paul Murungah,12,Meru,56,North Imenti,IND,Independent,IND,
344,Muketha,Kenneth Muriuki,12,Meru,56,North Imenti,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
345,Mwenda,Patrick Mwongeera,12,Meru,56,North Imenti,IND,Independent,IND,
346,Mwiti,Kanyamu Douglas,12,Meru,56,North Imenti,IND,Independent,IND,
347,Rimbere,Tedd Gatobu,12,Meru,56,North Imenti,IND,Independent,IND,
348,Ruteere,Silas Muriuki,12,Meru,56,North Imenti,10,Mazingira Greens Party of Kenya,MGPK,
349,Angaine,John Mugambi,12,Meru,57,Buuri,14,Party of National Unity,PNU,
350,Gikunda,Peter Gitonga,12,Meru,57,Buuri,IND,Independent,IND,
351,Kaimenyi,Josephat,12,Meru,57,Buuri,IND,Independent,IND,
352,Kinoti,Nicholas Magana,12,Meru,57,Buuri,IND,Independent,IND,
353,Kinyua,Stephen Mwenda,12,Meru,57,Buuri,67,Maendeleo Chap Chap Party,MCCP,
354,Kirera,James Kinoti,12,Meru,57,Buuri,IND,Independent,IND,
355,Kirimi,David,12,Meru,57,Buuri,IND,Independent,IND,
356,Kithinji,Dennis Kiambi,12,Meru,57,Buuri,IND,Independent,IND,
357,Marete,Lenisson Bundi,12,Meru,57,Buuri,17,Agano Party,AGANO,
358,Mbuba,Peter Rwanda,12,Meru,57,Buuri,44,Party of Democratic Unity,PDU,
359,Rindikiri,Mugambi Murwithania,12,Meru,57,Buuri,27,Jubilee Party,JP,
360,Ringera,Stephen Kirimi,12,Meru,57,Buuri,IND,Independent,IND,
361,Stephen,Paul Bundi,12,Meru,57,Buuri,IND,Independent,IND,
362,Wanjangi,Chris Kinyua,12,Meru,57,Buuri,IND,Independent,IND,
363,Imanyara,Gitobu,12,Meru,58,Central Imenti,67,Maendeleo Chap Chap Party,MCCP,
364,Irea,Gideon Mwiti,12,Meru,58,Central Imenti,IND,Independent,IND,
365,Kirima,Moses Nguchine,12,Meru,58,Central Imenti,27,Jubilee Party,JP,
366,Kithinji,Japhet  Kirimi,12,Meru,58,Central Imenti,IND,Independent,IND,
367,Kiugu,Geoffrey Muriungi,12,Meru,58,Central Imenti,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
368,Makathimo,Mwenda Kiambi,12,Meru,58,Central Imenti,IND,Independent,IND,
369,Mbaya,Julius Kimathi,12,Meru,58,Central Imenti,14,Party of National Unity,PNU,
370,Mutai,Kenneth Isaac Kiara,12,Meru,58,Central Imenti,IND,Independent,IND,
371,Mwiti,Benson Kinoti,12,Meru,58,Central Imenti,21,Orange Democratic Movement,ODM,
372,Nthurima,Moses,12,Meru,58,Central Imenti,13,Democratic Party of Kenya,DP,
373,Ithinji,Dr Shardrack Mwiti,12,Meru,59,South Imenti,27,Jubilee Party,JP,
374,Kathaara,Ashford Mwiti Kirimi,12,Meru,59,South Imenti,IND,Independent,IND,
375,Muriuki,David,12,Meru,59,South Imenti,21,Orange Democratic Movement,ODM,
376,Murungi,Kathuri,12,Meru,59,South Imenti,IND,Independent,IND,
377,Mutwiri,Gideon Kimathi,12,Meru,59,South Imenti,IND,Independent,IND,
378,Mwega,Cornelius Muthuri,12,Meru,59,South Imenti,14,Party of National Unity,PNU,
379,Nteere,John,12,Meru,59,South Imenti,IND,Independent,IND,
380,Kuura,Japhet Mutegi,13,Tharaka - Nithi,60,Maara,13,Democratic Party of Kenya,DP,
381,M'ithara,Silas Kaburu,13,Tharaka - Nithi,60,Maara,21,Orange Democratic Movement,ODM,
382,Mbiuki,Japhet Miriti Kareke,13,Tharaka - Nithi,60,Maara,27,Jubilee Party,JP,
383,Muthuro,John Micheni,13,Tharaka - Nithi,60,Maara,67,Maendeleo Chap Chap Party,MCCP,
384,Njeru,Domiziano Kaburu,13,Tharaka - Nithi,60,Maara,IND,Independent,IND,
385,Reche,Hassan  Martin Kithinji,13,Tharaka - Nithi,60,Maara,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
386,David,Zachary Gitonga Kathuni,13,Tharaka - Nithi,61,Chuka/Igambang'Om,21,Orange Democratic Movement,ODM,
387,Mbabu,John,13,Tharaka - Nithi,61,Chuka/Igambang'Om,67,Maendeleo Chap Chap Party,MCCP,
388,Mutegi,Mercy Kirito,13,Tharaka - Nithi,61,Chuka/Igambang'Om,IND,Independent,IND,
389,Nicholas,Ngece Kunga,13,Tharaka - Nithi,61,Chuka/Igambang'Om,14,Party of National Unity,PNU,
390,Njoka,Benjamin Kinyua,13,Tharaka - Nithi,61,Chuka/Igambang'Om,IND,Independent,IND,
391,Ntwiga,Patrick Munene,13,Tharaka - Nithi,61,Chuka/Igambang'Om,27,Jubilee Party,JP,
392,Kabisani,Francis Kijogi Mutegi,13,Tharaka - Nithi,62,Tharaka,67,Maendeleo Chap Chap Party,MCCP,
393,Karigi,Victor Murithi,13,Tharaka - Nithi,62,Tharaka,IND,Independent,IND,
394,Murugara,George Gitonga,13,Tharaka - Nithi,62,Tharaka,13,Democratic Party of Kenya,DP,
395,Mwiru,Alex Muthengi Mburi,13,Tharaka - Nithi,62,Tharaka,27,Jubilee Party,JP,
396,Njagi,Julius Juma,13,Tharaka - Nithi,62,Tharaka,21,Orange Democratic Movement,ODM,
397,Wa Gaicu,Mwenjuku,13,Tharaka - Nithi,62,Tharaka,IND,Independent,IND,
398,Ireri,Bernard Njeru,14,Embu,63,Manyatta,13,Democratic Party of Kenya,DP,
399,Mbogo,Richard Njiru,14,Embu,63,Manyatta,33,Kenya African National Union,KANU,
400,Mugo,Justus Kinywa,14,Embu,63,Manyatta,IND,Independent,IND,
401,Mukunji,John Gitonga Mwaniki,14,Embu,63,Manyatta,67,Maendeleo Chap Chap Party,MCCP,
402,Njagi,Antony Njiru,14,Embu,63,Manyatta,IND,Independent,IND,
403,Njoka,Danson M,14,Embu,63,Manyatta,21,Orange Democratic Movement,ODM,
404,Njue,Patrick Mucangi,14,Embu,63,Manyatta,34,Safina,SAFINA,
405,Nyaga,John Muchiri,14,Embu,63,Manyatta,27,Jubilee Party,JP,
406,Nyaga,Loyed Ireri,14,Embu,63,Manyatta,14,Party of National Unity,PNU,
407,Kathangu,John Njiru,14,Embu,64,Runyenjes,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
408,Mbogo,Joyce Mukami,14,Embu,64,Runyenjes,21,Orange Democratic Movement,ODM,
409,Ndwigah,Clement Njeru,14,Embu,64,Runyenjes,IND,Independent,IND,
410,Njagi,John Ndwiga Kamunyoti,14,Embu,64,Runyenjes,13,Democratic Party of Kenya,DP,
411,Njiru,Eric Muchangi,14,Embu,64,Runyenjes,27,Jubilee Party,JP,
412,Erasmus,Hesbon Mwangi,14,Embu,65,Mbeere South,21,Orange Democratic Movement,ODM,
413,Mugoh,Genesio Njagi,14,Embu,65,Mbeere South,67,Maendeleo Chap Chap Party,MCCP,
414,Muriuki,Nebart Bernard,14,Embu,65,Mbeere South,13,Democratic Party of Kenya,DP,
415,Musyimi,Mutava,14,Embu,65,Mbeere South,IND,Independent,IND,
416,Muturi,Geoffrey Kingagi,14,Embu,65,Mbeere South,27,Jubilee Party,JP,
417,Mwige,Sarah Njiro,14,Embu,65,Mbeere South,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
418,Njeru,Atanasio Njue,14,Embu,65,Mbeere South,14,Party of National Unity,PNU,
419,Njuki,Emily Thaara,14,Embu,65,Mbeere South,IND,Independent,IND,
420,Nyutu,Peter Kamau,14,Embu,65,Mbeere South,IND,Independent,IND,
421,Alex,Anthony Muriithi,14,Embu,66,Mbeere North,33,Kenya African National Union,KANU,
422,Gitonga,Ephantus,14,Embu,66,Mbeere North,31,Kenya Patriots Party,KPP,
423,Njagagua,Charles Muriuki,14,Embu,66,Mbeere North,27,Jubilee Party,JP,
424,Njeru,Ephraim Njugu Murigo,14,Embu,66,Mbeere North,53,Kenya National Democratic Alliance,KENDA,
425,Njiru,Patrisio,14,Embu,66,Mbeere North,67,Maendeleo Chap Chap Party,MCCP,
426,Ruku,Geoffrey Kariuki Kiringa,14,Embu,66,Mbeere North,IND,Independent,IND,
427,Mati,Munuve G J,15,Kitui,67,Mwingi North,27,Jubilee Party,JP,
428,Mwangangi,Patrick Muthui,15,Kitui,67,Mwingi North,IND,Independent,IND,
429,Nzengu,Paul Musyimi,15,Kitui,67,Mwingi North,12,Wiper Democratic Movement - Kenya,WDM-K,
430,Kitungi,Bernard Munywoki,15,Kitui,68,Mwingi West,IND,Independent,IND,
431,Musau,Patrick Koki,15,Kitui,68,Mwingi West,29,National Rainbow Coalition,NARC,
432,Mutua,Robert Mutemi,15,Kitui,68,Mwingi West,67,Maendeleo Chap Chap Party,MCCP,
433,Mwangangi,Geoffrey Mukonza,15,Kitui,68,Mwingi West,50,Muungano Party,MUUNGANO,
434,Mwangangi,Munyoki,15,Kitui,68,Mwingi West,IND,Independent,IND,
435,Mwinzi,Mwende Maluki,15,Kitui,68,Mwingi West,27,Jubilee Party,JP,
436,Nguna,Charles Ngusya,15,Kitui,68,Mwingi West,12,Wiper Democratic Movement - Kenya,WDM-K,
437,Kilonzi,David Paul Kilatya,15,Kitui,69,Mwingi Central,21,Orange Democratic Movement,ODM,
438,Kula,Joseph Musee,15,Kitui,69,Mwingi Central,IND,Independent,IND,
439,Makau,Samwel Kithome,15,Kitui,69,Mwingi Central,50,Muungano Party,MUUNGANO,
440,Maluki,John Mumo,15,Kitui,69,Mwingi Central,67,Maendeleo Chap Chap Party,MCCP,
441,Mulyungi,Gideon Mutemi,15,Kitui,69,Mwingi Central,12,Wiper Democratic Movement - Kenya,WDM-K,
442,Mutambu,Joe Musyimi,15,Kitui,69,Mwingi Central,27,Jubilee Party,JP,
443,Mutemi,Joseph Musikali,15,Kitui,69,Mwingi Central,IND,Independent,IND,
444,Mutukaa,Julius Muinde,15,Kitui,69,Mwingi Central,29,National Rainbow Coalition,NARC,
445,Lelli,Robert Mutiso,15,Kitui,70,Kitui West,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
446,Mbai,Ben Rogers Ndeteni,15,Kitui,70,Kitui West,27,Jubilee Party,JP,
447,Mbiti,Hannington Mbai,15,Kitui,70,Kitui West,50,Muungano Party,MUUNGANO,
448,Mulwa,Dennis Muli,15,Kitui,70,Kitui West,62,Amani National Congress,ANC,
449,Musyoka,Redemter Wanjiku,15,Kitui,70,Kitui West,IND,Independent,IND,
450,Musyoki,Edwin Kinyua,15,Kitui,70,Kitui West,13,Democratic Party of Kenya,DP,
451,Nyenze,Francis Mwanzia,15,Kitui,70,Kitui West,12,Wiper Democratic Movement - Kenya,WDM-K,
452,Kiilu,James Munyao,15,Kitui,71,Kitui Rural,27,Jubilee Party,JP,
453,Mboni,David Mwalika,15,Kitui,71,Kitui Rural,36,Chama Cha Uzalendo,CCU,
454,Muthukumi,Ben Mwongela,15,Kitui,71,Kitui Rural,29,National Rainbow Coalition,NARC,
455,Nyamai,Charles Mutisya,15,Kitui,71,Kitui Rural,12,Wiper Democratic Movement - Kenya,WDM-K,
456,Nzioka,Julius Kaunda,15,Kitui,71,Kitui Rural,50,Muungano Party,MUUNGANO,
457,Wambua,Rosemary,15,Kitui,71,Kitui Rural,67,Maendeleo Chap Chap Party,MCCP,
458,Banda,Moses Mwendwa,15,Kitui,72,Kitui Central,27,Jubilee Party,JP,
459,Daudi,Paul Kitonga,15,Kitui,72,Kitui Central,29,National Rainbow Coalition,NARC,
460,Mbuvi,Leonard Katunga,15,Kitui,72,Kitui Central,67,Maendeleo Chap Chap Party,MCCP,
461,Mulu,Benson Makali,15,Kitui,72,Kitui Central,12,Wiper Democratic Movement - Kenya,WDM-K,
462,Mulwa,Nicodemus Kilonzo,15,Kitui,72,Kitui Central,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
463,Munyasya,Bernard Mwendwa,15,Kitui,72,Kitui Central,IND,Independent,IND,
464,Musyoka,Henry Malonza,15,Kitui,72,Kitui Central,IND,Independent,IND,
465,Mwova,Japhet Musee,15,Kitui,72,Kitui Central,50,Muungano Party,MUUNGANO,
466,Wambua,James,15,Kitui,72,Kitui Central,IND,Independent,IND,
467,Kitute,Millitonic Mwendwa Kimanzi,15,Kitui,73,Kitui East,29,National Rainbow Coalition,NARC,
468,Kyavoa,Joseph,15,Kitui,73,Kitui East,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
469,Kyenza,Kitili James,15,Kitui,73,Kitui East,50,Muungano Party,MUUNGANO,
470,Mavusyu,Mulaimu,15,Kitui,73,Kitui East,51,National Party of Kenya,NPK,
471,Mbai,Nimrod Mbithuka,15,Kitui,73,Kitui East,27,Jubilee Party,JP,
472,Muluvi,Marcus Mutua,15,Kitui,73,Kitui East,12,Wiper Democratic Movement - Kenya,WDM-K,
473,Kitindio,Bernard Musembi,15,Kitui,74,Kitui South,IND,Independent,IND,
474,Moki,Kennedy,15,Kitui,74,Kitui South,12,Wiper Democratic Movement - Kenya,WDM-K,
475,Mulei,John Munyallo,15,Kitui,74,Kitui South,74,Ukweli Party,UP,
476,Mwaniki,David Mbilo,15,Kitui,74,Kitui South,67,Maendeleo Chap Chap Party,MCCP,
477,Nyamai,Rachael Kaki,15,Kitui,74,Kitui South,27,Jubilee Party,JP,
478,Mathuki,Joseph Musyoki,16,Machakos,75,Masinga,66,Peoples Trust Party,PTP,
479,Mbai,Benson Itwiku,16,Machakos,75,Masinga,27,Jubilee Party,JP,
480,Musila,Paul Muoki,16,Machakos,75,Masinga,67,Maendeleo Chap Chap Party,MCCP,
481,Mwalyo,Joshua Mbithi,16,Machakos,75,Masinga,12,Wiper Democratic Movement - Kenya,WDM-K,
482,Mwangangi,Peter Kaveva,16,Machakos,75,Masinga,IND,Independent,IND,
483,Mwanza,Lawrence Maingi,16,Machakos,75,Masinga,IND,Independent,IND,
484,Basil,Robert Ngui,16,Machakos,76,Yatta,50,Muungano Party,MUUNGANO,
485,Kilonzo,Charles Mutavi,16,Machakos,76,Yatta,IND,Independent,IND,
486,Kilonzo,Francis Mwangangi,16,Machakos,76,Yatta,36,Chama Cha Uzalendo,CCU,
487,Kimiti,Henry Musau,16,Machakos,76,Yatta,21,Orange Democratic Movement,ODM,
488,Mutie,Christopher Mutua,16,Machakos,76,Yatta,29,National Rainbow Coalition,NARC,
489,Mutua,James Mutiso,16,Machakos,76,Yatta,12,Wiper Democratic Movement - Kenya,WDM-K,
490,Mutua,Steve Mutuku,16,Machakos,76,Yatta,27,Jubilee Party,JP,
491,Naason,Timothy Nganga,16,Machakos,76,Yatta,67,Maendeleo Chap Chap Party,MCCP,
492,Ngui,Michael Kasimba,16,Machakos,76,Yatta,65,Diligence Development Alliance,DDA,
493,Matiku,Titus Nzeki,16,Machakos,77,Kangundo,67,Maendeleo Chap Chap Party,MCCP,
494,Maweu,Kyengo Katatha,16,Machakos,77,Kangundo,12,Wiper Democratic Movement - Kenya,WDM-K,
495,Muli,Fabian Kyule,16,Machakos,77,Kangundo,50,Muungano Party,MUUNGANO,
496,Mutinda,Anthanas Ndolo,16,Machakos,77,Kangundo,IND,Independent,IND,
497,Nzioka,Ancent Kituku,16,Machakos,77,Kangundo,IND,Independent,IND,
498,Senga,Nathaniel Maundu,16,Machakos,77,Kangundo,40,New Democrats,ND,
499,Wambua,Rose Ndinda,16,Machakos,77,Kangundo,27,Jubilee Party,JP,
500,Kilonzo,Charles Kyalo,16,Machakos,78,Matungulu,36,Chama Cha Uzalendo,CCU,
501,Mule,Stephen  Mutinda,16,Machakos,78,Matungulu,12,Wiper Democratic Movement - Kenya,WDM-K,
502,Musau,Thomas Malinda,16,Machakos,78,Matungulu,27,Jubilee Party,JP,
503,Musyimi,Richard Mutinda,16,Machakos,78,Matungulu,IND,Independent,IND,
504,Muya,Paul Muoki,16,Machakos,78,Matungulu,7,Party of Independent Candidates of Kenya,PICK,
505,Ndawa,Magdalene Muthike,16,Machakos,78,Matungulu,40,New Democrats,ND,
506,Nginga,Daniel Kimomo,16,Machakos,78,Matungulu,67,Maendeleo Chap Chap Party,MCCP,
507,Katuu,Joseph Mulwa,16,Machakos,79,Kathiani,IND,Independent,IND,
508,Kioko,Jackson Teddy,16,Machakos,79,Kathiani,27,Jubilee Party,JP,
509,Kitele,Johnbosco Kyule,16,Machakos,79,Kathiani,32,Social Democratic Party of Kenya,SDP,
510,Makola,Franklin Musila,16,Machakos,79,Kathiani,67,Maendeleo Chap Chap Party,MCCP,
511,Mbui,Robert,16,Machakos,79,Kathiani,12,Wiper Democratic Movement - Kenya,WDM-K,
512,Munyao,Mathew Mutua,16,Machakos,79,Kathiani,IND,Independent,IND,
513,Kilonzo,Philip Mutua,16,Machakos,80,Mavoko,67,Maendeleo Chap Chap Party,MCCP,
514,King'ola,Patrick Makau,16,Machakos,80,Mavoko,12,Wiper Democratic Movement - Kenya,WDM-K,
515,Kyaiwa,Jacqueline Mutindi,16,Machakos,80,Mavoko,IND,Independent,IND,
516,Mutua,Mutuku Michael,16,Machakos,80,Mavoko,21,Orange Democratic Movement,ODM,
517,Ndile,Richard N Kalembe,16,Machakos,80,Mavoko,27,Jubilee Party,JP,
518,Wamae,Justina Wangui,16,Machakos,80,Mavoko,IND,Independent,IND,
519,Kiilu,Joel Musembi,16,Machakos,81,Machakos Town,67,Maendeleo Chap Chap Party,MCCP,
520,Munyaka,Victor Kioko,16,Machakos,81,Machakos Town,27,Jubilee Party,JP,
521,Mutiso,Philip Musyoka,16,Machakos,81,Machakos Town,62,Amani National Congress,ANC,
522,Mutisya,Albanus Paul,16,Machakos,81,Machakos Town,12,Wiper Democratic Movement - Kenya,WDM-K,
523,Ndambuki,Robert Mbithi James,16,Machakos,81,Machakos Town,IND,Independent,IND,
524,Ndeto,Festus  Muthembwa,16,Machakos,81,Machakos Town,7,Party of Independent Candidates of Kenya,PICK,
525,Mulonzi,George,16,Machakos,82,Mwala,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
526,Muoki,Daniel Mutua,16,Machakos,82,Mwala,12,Wiper Democratic Movement - Kenya,WDM-K,
527,Musau,Vincent Musyoka,16,Machakos,82,Mwala,67,Maendeleo Chap Chap Party,MCCP,
528,Muthwii,Samson Mbindyo,16,Machakos,82,Mwala,29,National Rainbow Coalition,NARC,
529,Ngengele,Urbanus Mutunga Muthama,16,Machakos,82,Mwala,IND,Independent,IND,
530,Nzeki,Joseph Kanyange,16,Machakos,82,Mwala,27,Jubilee Party,JP,
531,Kavutu,Japheth Mumina,17,Makueni,83,Mbooni,54,Chama Cha Mashinani,CCM,
532,Kimeu,Justus Kithusi,17,Makueni,83,Mbooni,29,National Rainbow Coalition,NARC,
533,Kisoi,Michael Manthi,17,Makueni,83,Mbooni,27,Jubilee Party,JP,
534,Kithuku,Benson Kioko,17,Makueni,83,Mbooni,50,Muungano Party,MUUNGANO,
535,Mbiu,Mary Mutinga,17,Makueni,83,Mbooni,12,Wiper Democratic Movement - Kenya,WDM-K,
536,Mboloi,Martin T M,17,Makueni,83,Mbooni,IND,Independent,IND,
537,Mbuva,Festus Kasyoka,17,Makueni,83,Mbooni,IND,Independent,IND,
538,Musyoka,Ben Musila,17,Makueni,83,Mbooni,67,Maendeleo Chap Chap Party,MCCP,
539,Mutheke,Johnson Wambua,17,Makueni,83,Mbooni,41,United Democratic Movement,UDM,
540,Nzioka,Erastus Kivasu,17,Makueni,83,Mbooni,40,New Democrats,ND,
541,Kamzee,Ndava David,17,Makueni,84,Kilome,IND,Independent,IND,
542,Kasimu,Johnstone Pascal,17,Makueni,84,Kilome,44,Party of Democratic Unity,PDU,
543,Kinyili,Salome Syomweu,17,Makueni,84,Kilome,IND,Independent,IND,
544,Kivunge,Benard Muthiani,17,Makueni,84,Kilome,50,Muungano Party,MUUNGANO,
545,Muia,Regina Nthambi,17,Makueni,84,Kilome,27,Jubilee Party,JP,
546,Muli,Cleophus Mulwa,17,Makueni,84,Kilome,IND,Independent,IND,
547,Nzambia,Thuddeus Kithua,17,Makueni,84,Kilome,12,Wiper Democratic Movement - Kenya,WDM-K,
548,Nzioka,George Mutua,17,Makueni,84,Kilome,21,Orange Democratic Movement,ODM,
549,Nzyuko,Samuel Kyalo,17,Makueni,84,Kilome,36,Chama Cha Uzalendo,CCU,
550,Kiio,Christine Ndungwa,17,Makueni,85,Kaiti,IND,Independent,IND,
551,Kilonzo,Peter Kavoo,17,Makueni,85,Kaiti,29,National Rainbow Coalition,NARC,
552,Kimilu,Joshua Kivinda,17,Makueni,85,Kaiti,12,Wiper Democratic Movement - Kenya,WDM-K,
553,Kioko,Joseph,17,Makueni,85,Kaiti,66,Peoples Trust Party,PTP,
554,Kisaulu,Justus Mulinge,17,Makueni,85,Kaiti,21,Orange Democratic Movement,ODM,
555,Koinange,Anthony,17,Makueni,85,Kaiti,34,Safina,SAFINA,
556,Maingi,Gabriel Musiu,17,Makueni,85,Kaiti,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
557,Makenga,Richard Katemi,17,Makueni,85,Kaiti,27,Jubilee Party,JP,
558,Mangoka,Japheth Musyoka,17,Makueni,85,Kaiti,40,New Democrats,ND,
